TMA Ref,DMA Name,District Type,Water Balance Area,Region
IX29,Wootton to Fairlee Road TM,OSCM,Isle of Wight,IOW
MX55,Hoath to Akzo Transfer Main,OSCM,Medway,Medway
IX32,Afton TM  to Totland WBS  TM,OSCM,Isle of Wight,IOW
NX22,Hardham to Smock Alley 400mm Trunk Main,TMA,Sussex North,Sussex
NX23,Hardham to Smock Alley 12in Trunk Main,TMA,Sussex North,Sussex
MX16,Grove Valve house -Southdown/ Kingsborgh Res,OSCM,Medway,Medway
IX16,Alvington HL Res to Brdfields WSW TM,OSCM,Isle of Wight,IOW
CX22,Batworth Park WSR Supply TM,TMA,Sussex Coastal,Sussex
NX47,Hardham 18in to Upper Nash WSR TM,TMA,Sussex North,Sussex
MX46,Colewood Gravity,OSCM,Medway,Medway
DR13,Ditchling Road Boosted TM,OSCM,Sussex Coastal,Sussex
FB90,Fleete Booster south output TM,OSCM,Thanet,Thanet
PX32,Kings Sombourne-Broughton,TMA,Hampshire South,Hampshire
AX20,Romsey rd to Sarum rd WSR TM,TMA,Hampshire South,Hampshire
CX03,Rock Road PS to Tenants Hill WSR 600mm TM,TMA,Sussex Coastal,Sussex
CX38,Newmarket WBS to Balsdean Reservoir TM,TMA,Sussex Coastal,Sussex
CX39,Goldstone WSW to Mileoak WSR TM,TMA,Sussex Coastal,Sussex
CX54,Mileoak To Redhill Transfer Main,TMA,Sussex Coastal,Sussex
HX24,Rye Tower Trunk,TMA,Hastings,Hastings
MX13,Nashenden/Borstal- Woolmans wood  TM,TMA,Medway,Medway
MX35,Northfleet Booster-Pitfield WSR TM,TMA,Medway,Medway
MX91,Wallend WBS - Southdown WSR,OSCM,Medway,Medway
MX92,Wallend WBS - Kingsborough WSR,OSCM,Medway,Medway
NX24,"Hardham 32"" to Rock Road PS 600mm TM",TMA,Sussex North,Sussex
NX25,Smock Alley to Wiston Res Trunk Main,TMA,Sussex North,Sussex
NX26,Smock Alley to Sullington Res Trunk Main,TMA,Sussex North,Sussex
NX37,Rogate WSW or Knightsfield Res-Rake Res,TMA,Sussex North,Sussex
NX44,Coltstaple PS to Coltstaple Res,TMA,Sussex North,Sussex
TX07,Aylesham WSR - Adisham WSR transfer main,OSCM,Thanet,Thanet
VN14,Cocking WBS to Cocking tank TMS,OSCM,Sussex North,Sussex
MX12,Borstal-Wigmore  trunk main,OSCM,Medway,Medway
CR05,Cromers 560mm TM,OSCM,Medway,Medway
CX51,Goldstone to low service DMAs TM,OSCM,Sussex Coastal,Sussex
HX02,The Ridge Trunk Main,OSCM,Hastings,Hastings
TX11,Fleete Gravity,OSCM,Thanet,Thanet
HX05,Udimore Trunk,OSCM,Hastings,Hastings
BW28,"Broadwater WSR to Worthing DMAs 18""TM",OSCM,Sussex Coastal,Sussex
MX47,Darland Gravity,OSCM,Medway,Medway
PX05,Rownhams TM North,OSCM,Hampshire South,Hampshire
MX45,Cobham Gravity,OSCM,Medway,Medway
MX53,Woolmans - Snodhurst,OSCM,Medway,Medway
AX16,Yewhill Res TM,OSCM,Hampshire South,Hampshire
CX14,Tenants Hill Trunk Main,OSCM,Sussex Coastal,Sussex
NX05,Buchan Hill Res to Crawley Trunk Main,OSCM,Sussex North,Sussex
PX12,Moorhill Res-Pinkmead Fm,OSCM,Hampshire South,Hampshire
NX54,Beedingwood Res 14in Trunk Main,OSCM,Sussex North,Sussex
MX48,Singlewell Gravity,OSCM,Medway,Medway
KS10,Kingsclere WSR 300mm outlet TM,OSCM,Kingsclere,Hampshire
NX62,Rake South Trunk Main,OSCM,Sussex North,Sussex
MX52,Courtney - Hoath,OSCM,Medway,Medway
NX10,Haslingbourne PS to Petworth High TM,OSCM,Sussex North,Sussex
CX05,Batworth Park 14in TM,OSCM,Sussex Coastal,Sussex
NX12,Pulborough 200mm Trunk Main,OSCM,Sussex North,Sussex
PX23,Michelmersh WSR outlet to TB01,OSCM,Hampshire south,Hampshire
CX20,Dyke Road WSR Outlet Mains,OSCM,Sussex Coastal,Sussex
