Date of Reading,(CUS) IF0832 (Flow) (Flow (m3/hr)),(CUS) IF0833 (Flow) (Flow (m3/hr)),(IN) IF1801 (Flow) (Flow (m3/hr)),(OUT) IF0802 Flow (Flow (m3/hr)),Itchingfield 250mm east TM (Balance) (Flow (m3/hr))
20/08/2022 22:45:00,,,3.376,0,3.376
20/08/2022 23:00:00,,,4.604,0,4.604
20/08/2022 23:15:00,,,4.3,0,4.3
20/08/2022 23:30:00,,,2.972,0,2.972
20/08/2022 23:45:00,,,2.656,0,2.656
21/08/2022 00:00:00,,,2.136,0,2.136
21/08/2022 00:15:00,,,1.912,0,1.912
21/08/2022 00:30:00,,,1.76,0,1.76
21/08/2022 00:45:00,,,2.028,0,2.028
21/08/2022 01:00:00,,,1.608,0,1.608
21/08/2022 01:15:00,,,3.12,0,3.12
21/08/2022 01:30:00,,,1.708,0,1.708
21/08/2022 01:45:00,,,1.652,0,1.652
21/08/2022 02:00:00,,,1.612,0,1.612
21/08/2022 02:15:00,,,1.636,0,1.636
21/08/2022 02:30:00,,,1.792,0,1.792
21/08/2022 02:45:00,,,3.288,0,3.288
21/08/2022 03:00:00,,,3.384,0,3.384
21/08/2022 03:15:00,,,1.896,0,1.896
21/08/2022 03:30:00,,,1.684,0,1.684
21/08/2022 03:45:00,,,1.76,0,1.76
21/08/2022 04:00:00,,,1.756,0,1.756
21/08/2022 04:15:00,,,2.412,0,2.412
21/08/2022 04:30:00,,,1.86,0,1.86
21/08/2022 04:45:00,,,3.392,0,3.392
21/08/2022 05:00:00,,,1.888,0,1.888
21/08/2022 05:15:00,,,1.88,0,1.88
21/08/2022 05:30:00,,,2.172,0,2.172
21/08/2022 05:45:00,,,2.468,0,2.468
21/08/2022 06:00:00,,,2.496,0,2.496
21/08/2022 06:15:00,,,2.96,0,2.96
21/08/2022 06:30:00,,,4.148,0,4.148
21/08/2022 06:45:00,,,4.036,0,4.036
21/08/2022 07:00:00,,,4.364,0,4.364
21/08/2022 07:15:00,,,5.648,0,5.648
21/08/2022 07:30:00,,,8.136,0,8.136
21/08/2022 07:45:00,,,5.216,0,5.216
21/08/2022 08:00:00,,,5.632,0,5.632
21/08/2022 08:15:00,,,6.92,0,6.92
21/08/2022 08:30:00,,,9.42,0,9.42
21/08/2022 08:45:00,,,12.82,0,12.82
21/08/2022 09:00:00,,,12.508,0,12.508
21/08/2022 09:15:00,,,12.572,0,12.572
21/08/2022 09:30:00,,,11.76,0,11.76
21/08/2022 09:45:00,,,13.604,0,13.604
21/08/2022 10:00:00,,,11.848,0,11.848
21/08/2022 10:15:00,,,9.672,0,9.672
21/08/2022 10:30:00,,,13.22,0,13.22
21/08/2022 10:45:00,,,11.052,0,11.052
21/08/2022 11:00:00,,,11.052,0,11.052
21/08/2022 11:15:00,,,12.416,0,12.416
21/08/2022 11:30:00,,,16.504,0,16.504
21/08/2022 11:45:00,,,12.772,0,12.772
21/08/2022 12:00:00,,,12.496,0,12.496
21/08/2022 12:15:00,,,9.34,0,9.34
21/08/2022 12:30:00,,,8.1,0,8.1
21/08/2022 12:45:00,,,8.392,0,8.392
21/08/2022 13:00:00,,,11.384,0,11.384
21/08/2022 13:15:00,,,7.696,0,7.696
21/08/2022 13:30:00,,,8.036,0,8.036
21/08/2022 13:45:00,,,8.036,0,8.036
21/08/2022 14:00:00,,,4.92,0,4.92
21/08/2022 14:15:00,,,5.364,0,5.364
21/08/2022 14:30:00,,,4.444,0,4.444
21/08/2022 14:45:00,,,3.728,0,3.728
21/08/2022 15:00:00,,,4.252,0,4.252
21/08/2022 15:15:00,,,7.048,0,7.048
21/08/2022 15:30:00,,,5.252,0,5.252
21/08/2022 15:45:00,,,5.336,0,5.336
21/08/2022 16:00:00,,,5.556,0,5.556
21/08/2022 16:15:00,,,8.156,0,8.156
21/08/2022 16:30:00,,,5.968,0,5.968
21/08/2022 16:45:00,,,8.884,0,8.884
21/08/2022 17:00:00,,,6.524,0,6.524
21/08/2022 17:15:00,,,5.708,0,5.708
21/08/2022 17:30:00,,,6.504,0,6.504
21/08/2022 17:45:00,,,6.5,0,6.5
21/08/2022 18:00:00,,,9.788,0,9.788
21/08/2022 18:15:00,,,5.94,0,5.94
21/08/2022 18:30:00,,,5.992,0,5.992
21/08/2022 18:45:00,,,5.676,0,5.676
21/08/2022 19:00:00,,,6.192,0,6.192
21/08/2022 19:15:00,,,6.004,0,6.004
21/08/2022 19:30:00,,,6.244,0,6.244
21/08/2022 19:45:00,,,6.744,0,6.744
21/08/2022 20:00:00,,,7.112,0,7.112
21/08/2022 20:15:00,,,5.216,0,5.216
21/08/2022 20:30:00,,,4.696,0,4.696
21/08/2022 20:45:00,,,5.68,0,5.68
21/08/2022 21:00:00,,,4.808,0,4.808
21/08/2022 21:15:00,,,5.092,0,5.092
21/08/2022 21:30:00,,,4.288,0,4.288
21/08/2022 21:45:00,,,5.812,0,5.812
21/08/2022 22:00:00,,,4.072,0,4.072
21/08/2022 22:15:00,,,3.212,0,3.212
21/08/2022 22:30:00,,,3.08,0,3.08
21/08/2022 22:45:00,,,2.992,0,2.992
21/08/2022 23:00:00,,,3.332,0,3.332
21/08/2022 23:15:00,,,2.46,0,2.46
21/08/2022 23:30:00,,,2.2,0,2.2
21/08/2022 23:45:00,,,3.44,0,3.44
22/08/2022 00:00:00,,,2.472,0,2.472
